ko_id	seed_ids	definition	kegg_ids
K09007	rxn03421;rxn03174;rxn03419;rxn00302;rxn00299	GTP cyclohydrolase IB [EC:3.5.4.16]	R00428;R05046;R05048;R00424;R04639
K00678	rxn11899;rxn11897	phosphatidylcholine-retinol O-acyltransferase [EC:2.3.1.135]	R08387;R08389
K00679	rxn39497;rxn06901	phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]	R05333
K00677	rxn06729	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	R04567
K00674	rxn03031	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	R04365
K10011	rxn07475;rxn07473	UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]	R07658;R07660
K12674	rxn03764	(carboxyethyl)arginine beta-lactam-synthase [EC:6.3.3.4]	R05467
K10012	rxn07476;rxn26064	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]	R07661
K12673	rxn03762	N2-(2-carboxyethyl)arginine synthase [EC:2.5.1.66]	R05465
K12670	rxn31489	oligosaccharyltransferase complex subunit beta	R05976
K12676	rxn03658	proclavaminate amidinohydrolase [EC:3.5.3.22]	R05357
K12675	rxn03766;rxn03765;rxn03763	clavaminate synthase [EC:1.14.11.21]	R05468;R05466;R05469
K12677	rxn14321	clavulanate-9-aldehyde reducatase	R05471
K00660	rxn07777;rxn07778;rxn07779;rxn01179;rxn07219	chalcone synthase [EC:2.3.1.74]	R12117;R06568;R07987;R07989;R07988;R01613
K00669	rxn02084	arylalkylamine N-acetyltransferase [EC:2.3.1.87]	R02911
K00667	rxn05346;rxn05336;rxn05348;rxn05339;rxn05347;rxn05338;rxn05337;rxn05345;rxn05340;rxn05341;rxn05342;rxn15530;rxn05344;rxn05343;rxn39491;rxn05350	fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]	R04536;R04534;R04952;R04963;R04953;R04964;R04726;R04957;R04968;R04543;R04533;R04566;R04355;R04960;R05190
K00668	rxn05330;rxn05351;rxn05329;rxn05354;rxn05458;rxn05331;rxn05995;rxn05335;rxn05334;rxn05465;rxn05349;rxn05353;rxn05352;rxn05355;rxn05332;rxn05356;rxn05333;rxn05357;rxn15530;rxn39491	fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]	R04954;R04965;R04537;R04535;R04568;R01404;R01624;R04959;R04428;R04725;R04956;R04967;R01626;R10700;R04430;R04544;R04962;R04970;R05190
K00665	rxn05346;rxn05330;rxn05336;rxn05351;rxn05339;rxn15527;rxn05329;rxn05354;rxn06033;rxn05337;rxn08434;rxn05995;rxn05335;rxn05331;rxn05334;rxn05465;rxn05342;rxn05343;rxn05349;rxn05353;rxn05348;rxn05347;rxn05352;rxn05355;rxn39489;rxn05338;rxn05332;rxn05356;rxn05333;rxn05357;rxn05345;rxn05340;rxn05341;rxn05344;rxn05350	fatty acid synthase, animal type [EC:2.3.1.85]	R04965;R04963;R04568;R04964;R04428;R04725;R04967;R04726;R04968;R05188;R08159;R04430;R04533;R04970;R04355;R01706;R04536;R04954;R04537;R04534;R04952;R04535;R04953;R01404;R01624;R04959;R04956;R01626;R04957;R04543;R04544;R04566;R04962;R04960
K00664	rxn05875	alcohol O-acetyltransferase [EC:2.3.1.84]	R00627
K12640	rxn39810;rxn39809;rxn39808;rxn14110;rxn39812;rxn40426;rxn14166;rxn07303;rxn07284;rxn07290;rxn07289;rxn07288;rxn40425;rxn40412;rxn07283;rxn40424;rxn39811	brassinosteroid-6-oxidase 2 [EC:1.14.-.-]	R10682;R07455;R07458;R07457;R08840;R10683;R08841;R10684;R07451;R07450;R07471;R10669
K13979	rxn00765;rxn00536	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	R01041;R00746
K12643	rxn00725	anthranilate N-methyltransferase [EC:2.1.1.111]	R00984
K11311	rxn00594;rxn00595	anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]	R00825;R00823
K12645	rxn15824;rxn15823;rxn15821;rxn14215;rxn23461;rxn15822	epi-isozizaene 5-monooxygenase / beta-farnesene synthase [EC:1.14.13.106 4.2.3.47]	R08853;R08854;R08695;R08851;R08852;R10072
K12644	rxn05016	acridone synthase [EC:2.3.1.159]	R07250
K00694	rxn05800	cellulose synthase (UDP-forming) [EC:2.4.1.12]	R02889
K00695	rxn00579	sucrose synthase [EC:2.4.1.13]	R00806
K00692	rxn06618	levansucrase [EC:2.4.1.10]	R05140
K00693	rxn05800	glycogen synthase [EC:2.4.1.11]	R00292
K00690	rxn00577	sucrose phosphorylase [EC:2.4.1.7]	R00803
K00691	rxn08127;rxn08126;rxn40273;rxn37425;rxn15222;rxn08128;rxn22749;rxn05746;rxn01132;rxn07347;rxn20171;rxn22017	maltose phosphorylase [EC:2.4.1.8]	R01555
K00698	rxn06153;rxn15558	chitin synthase [EC:2.4.1.16]	R06028;R02335
K00699	rxn16263;rxn11787;rxn04909;rxn02078;rxn15770;rxn01697;rxn01812;rxn01721;rxn11789;rxn16264;rxn03024;rxn01795;rxn03025;rxn14014;rxn02217;rxn11791;rxn03202;rxn14144;rxn03026;rxn16265;rxn11790	glucuronosyltransferase [EC:2.4.1.17]	R02478;R02389;R02502;R02358;R08615;R02902;R04352;R08259;R04353;R04683;R09426;R09427;R01383;R09428;R07106;R04354;R08262;R08263;R03091;R08261
K00696	rxn00553;rxn15062	sucrose-phosphate synthase [EC:2.4.1.14]	R00766
K00697	rxn15362	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	R11783;R02737
K09020	rxn16826;rxn16794	ureidoacrylate peracid hydrolase [EC:3.5.1.110]	R09980;R09947
K09021	rxn16828	aminoacrylate peracid reductase	R09982
K13980	rxn11838;rxn11834;rxn04908;rxn00543;rxn03333;rxn11809;rxn01530;rxn05871	alcohol dehydrogenase 4 [EC:1.1.1.1]	R04880;R08306;R08310;R02124;R07105;R00754;R00623;R08281
K09024	rxn16776	flavin reductase [EC:1.5.1.-]	R09936
K09023	rxn16829	aminoacrylate hydrolase [EC:3.5.1.-]	R09983
K12658	rxn02360	4-hydroxyproline epimerase [EC:5.1.1.8]	R03296
K12657	rxn02373;rxn00179	delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]	R03313;R00239
K13988	rxn00775	ADP-ribose pyrophosphatase [EC:3.6.1.13]	R01054
K12659	rxn01917;rxn02465	N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]	R03443;R02649
K13987	rxn00775	ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase [EC:3.6.1.13 3.6.1.58 2.7.7.96]	R01054;R11553
K00684	rxn06491;rxn39425	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	R11444;R11443;R03813
K00681	rxn06025;rxn00350;rxn06817;rxn02791;rxn11997;rxn05952;rxn11577;rxn14123	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	R03916;R01262;R03970;R00494;R03971;R01687;R03867;R04935
K00682	rxn01981;rxn06472	gamma-glutamylcyclotransferase [EC:4.3.2.9]	R02743;R03749
K09018	rxn16776	pyrimidine oxygenase [EC:1.14.99.46]	R09936
K00689	rxn15569;rxn06050	dextransucrase [EC:2.4.1.5]	R02120;R06066
K00688	rxn06096	glycogen phosphorylase [EC:2.4.1.1]	R02111
K00685	rxn39429;rxn11996	arginyl-tRNA---protein transferase [EC:2.3.2.8]	R03862
K09019	rxn16149	3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]	R09289
K23304	rxn00423	serine O-acetyltransferase [EC:2.3.1.30]	R00586
K22093	rxn03211;rxn06501	1,2-dehydroreticuline synthase/reductase [EC:1.14.19.54 1.5.1.27]	R04695;R03833
K22086	rxn05869	methylglutamate dehydrogenase subunit C [EC:1.5.99.5]	R00609
K22085	rxn05869	methylglutamate dehydrogenase subunit B [EC:1.5.99.5]	R00609
K22084	rxn05869	methylglutamate dehydrogenase subunit A [EC:1.5.99.5]	R00609
K22083	rxn01160	methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]	R01586
K22089	rxn03218;rxn02067;rxn02642;rxn13952	tetrahydroprotoberberine oxidase [EC:1.3.3.8]	R02880;R08795;R03722;R04703;R11748
K22087	rxn05869	methylglutamate dehydrogenase subunit D [EC:1.5.99.5]	R00609
K22099	rxn27860;rxn00689;rxn01603;rxn15454	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	R04241;R02237;R00942
K22064	rxn14215	beta-farnesene synthase [EC:4.2.3.47]	R08695
K23393	rxn03407	lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]	R05030
K22065	rxn01661	alpha-copaene/(+)-delta-cadinene synthase [EC:4.2.3.133 4.2.3.13]	R02311
K22082	rxn01160	methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]	R01586
K22081	rxn01160	methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]	R01586
K11395	rxn40366;rxn00783;rxn03884;rxn15750	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	R01064;R08570;R10616;R05605
K11391	rxn07214	23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]	R07234
K11394	rxn02359	hydroxyproline dehydrogenase [EC:1.5.5.3]	R03295
K22049	rxn07447	S-linalool synthase [EC:4.2.3.25]	R07631
K22050	rxn04019	(-)-beta-pinene synthase [EC:4.2.3.120]	R05766
K01909	rxn05996	long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:6.2.1.20]	R01406
K01908	rxn00674;rxn00986;rxn00675	propionyl-CoA synthetase [EC:6.2.1.17]	R00925;R00926;R01354
K01907	rxn00988	acetoacetyl-CoA synthetase [EC:6.2.1.16]	R01357
K01906	rxn02296	6-carboxyhexanoate--CoA ligase [EC:6.2.1.14]	R03209
K01905	rxn00172;rxn00669	acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]	R00920;R00229
K01904	rxn01613;rxn01590;rxn01182;rxn01571;rxn04437;rxn01427	4-coumarate--CoA ligase [EC:6.2.1.12]	R01616;R02194;R06583;R02221;R02255;R01943
K01903	rxn01731;rxn00285	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	R02404;R00405
K01902	rxn01731;rxn00285	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	R02404;R00405
K01900	rxn00520;rxn00306	succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	R00727;R00432
K13950	rxn01257	para-aminobenzoate synthetase [EC:2.6.1.85]	R01716
K00639	rxn00274	glycine C-acetyltransferase [EC:2.3.1.29]	R00371
K01969	rxn02889	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	R04138
K13953	rxn11838;rxn04908;rxn11834;rxn01530;rxn04736;rxn00543;rxn03333;rxn14089;rxn11809;rxn04726;rxn05871;rxn14054	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	R00754;R06917;R00623;R06927;R04880;R05233;R08306;R08310;R02124;R05234;R07105;R08281
K13954	rxn04736;rxn00543;rxn03333;rxn14089;rxn04726;rxn05871;rxn14054	alcohol dehydrogenase [EC:1.1.1.1]	R04880;R05233;R05234;R00754;R06917;R00623;R06927
K13951	rxn11838;rxn11834;rxn04908;rxn00543;rxn03333;rxn11809;rxn01530;rxn05871	alcohol dehydrogenase 1/7 [EC:1.1.1.1]	R04880;R08306;R08310;R02124;R07105;R00754;R00623;R08281
K13952	rxn11838;rxn11834;rxn04908;rxn00543;rxn03333;rxn11809;rxn01530;rxn05871	alcohol dehydrogenase 6 [EC:1.1.1.1]	R04880;R08306;R08310;R02124;R07105;R00754;R00623;R08281
K01960	rxn00250	pyruvate carboxylase subunit B [EC:6.4.1.1]	R00344
K12629	rxn06949	puromycin biosynthesis protein Pur7 [EC:3.-.-.-]	R05669
K12628	rxn03938	puromycin biosynthesis protein Pur10 [EC:1.-.-.-]	R05668
K01968	rxn02889	3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]	R04138
K00637	rxn06002	sterol O-acyltransferase [EC:2.3.1.26]	R01461
K00634	rxn00871	phosphate butyryltransferase [EC:2.3.1.19]	R01174
K01966	rxn01355	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	R01859
K00635	rxn39332;rxn06145	diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]	R02251
K01965	rxn01355	propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	R01859
K00632	rxn02680;rxn06510;rxn07880;rxn07685;rxn07884;rxn07681;rxn00598;rxn03128;rxn07689;rxn00178;rxn03243;rxn02804;rxn03248;rxn03866;rxn03796;rxn00676;rxn00874	acetyl-CoA acyltransferase [EC:2.3.1.16]	R00927;R00829;R08091;R03778;R04546;R00238;R04747;R05506;R03858;R07895;R07899;R03991;R04742;R01177;R05586;R08095;R07891
K01964	rxn00533;rxn01355	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	R01859;R00742
K01963	rxn00533;rxn06673	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	R04386;R00742
K00630	rxn14401;rxn05901	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	R00851;R09380
K01962	rxn00533;rxn06673	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	R04386;R00742
K00631	rxn14401;rxn05901	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	R00851;R09380
K01961	rxn00533;rxn06672	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	R04385;R00742
K12630	rxn03940	puromycin biosynthesis protein Pur4 [EC:2.-.-.-]	R05670
K00629	rxn14401;rxn05901	glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]	R00851;R09380
K00627	rxn00154;rxn31433;rxn01871	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	R00209;R02569
K01959	rxn00250	pyruvate carboxylase subunit A [EC:6.4.1.1]	R00344
K00628	rxn01773	glycine N-acyltransferase / glycine N-benzoyltransferase [EC:2.3.1.13 2.3.1.71]	R02452
K01958	rxn00250	pyruvate carboxylase [EC:6.4.1.1]	R00344
K12636	rxn03947	N-acetylpuromycin N-acetylhydrolase	R05677
K12635	rxn03946	O-demethylpuromycin O-methyltransferase [EC:2.1.1.38]	R05676
K12638	rxn07281;rxn21916;rxn11687;rxn15701;rxn07275;rxn15700;rxn21400;rxn11688	3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]	R07431;R07448;R07787;R07786;R07792;R07791
K12637	rxn07281;rxn21916;rxn11687;rxn15701;rxn07275;rxn15700;rxn21400;rxn11688	3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]	R07431;R07448;R07787;R07786;R07792;R07791
K13967	rxn01951;rxn01506	N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase [EC:5.1.3.9 2.7.1.60]	R02705;R02087
K12632	rxn03942	puromycin N-acetyltransferase [EC:2.3.-.-]	R05672
K12631	rxn03941	puromycin biosynthesis protein Pur6	R05671
K12634	rxn03945	puromycin biosynthesis protein Pur3	R05675
K12633	rxn03943;rxn03944	N-methyl-transferase [EC:2.1.1.-]	R05673;R05674
K00625	rxn00173;rxn00670	phosphate acetyltransferase [EC:2.3.1.8]	R00230;R00921
K00626	rxn00178;rxn00874	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	R01177;R00238
K01956	rxn00414;rxn00189;rxn01016	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	R01395;R00256;R00575;R10948;R10949
K00623	rxn00753	choline O-acetyltransferase [EC:2.3.1.6]	R01023
K01955	rxn00414;rxn00189;rxn01016	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	R01395;R00256;R00575;R10948;R10949
K00624	rxn39338;rxn15328;rxn01726	carnitine O-acetyltransferase [EC:2.3.1.7]	R02396
K01954	rxn00414;rxn00189;rxn01016	carbamoyl-phosphate synthase [EC:6.3.5.5]	R01395;R00256;R00575;R10948;R10949
K00621	rxn01483	glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]	R02058
K01953	rxn00416	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	R00578
K00622	rxn07826;rxn11778;rxn07730;rxn11776	arylamine N-acetyltransferase [EC:2.3.1.5]	R08248;R08036;R07940;R11902;R08250
K01952	rxn03084	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	R04463
K01951	rxn11772;rxn00916;rxn00917	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	R01230;R08244;R01231
K00620	rxn01636;rxn00192	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	R02282;R00259
K01950	rxn00190	NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	R00257
K13935	rxn05465	malonate decarboxylase epsilon subunit [EC:2.3.1.39]	R01626
K13934	rxn40445	phosphoribosyl-dephospho-CoA transferase [EC:2.7.7.66]	R10706
K13930	rxn09320	triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	R09675
K00650	rxn06098;rxn15302	lecithin-cholesterol acyltransferase [EC:2.3.1.43]	R02114
K00651	rxn01304;rxn01303	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	R01776;R01777
K13939	rxn02200;rxn02201;rxn02504;rxn02503	dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:4.1.2.25 2.7.6.3 2.5.1.15]	R03066;R03067;R03503;R03504
K13937	rxn01975;rxn01476	hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]	R02035;R02736
K13938	rxn00686;rxn00684	dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3]	R11019;R00936;R00939
K00658	rxn01418;rxn08094;rxn31235;rxn39347;rxn01872;rxn11960	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	R02571;R02570;R08549;R01933
K00659	rxn14228;rxn14193;rxn25891;rxn02638;rxn02640	bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]	R03718;R08744;R08745;R03720
K00656	rxn04794;rxn00157	formate C-acetyltransferase [EC:2.3.1.54]	R00212;R06987
K01988	rxn39558	lactosylceramide 4-alpha-galactosyltransferase [EC:2.4.1.228]	R05960;R11376;R11377;R11375
K00657	rxn00855	diamine N-acetyltransferase [EC:2.3.1.57]	R01154
K00654	rxn00948	serine palmitoyltransferase [EC:2.3.1.50]	R01281
K00655	rxn14402;rxn06140	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	R02241;R09381
K00652	rxn21864;rxn02297	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	R10124;R03210
K00649	rxn05919	glyceronephosphate O-acyltransferase [EC:2.3.1.42]	R01013
K13942	rxn06696	5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]	R04455
K13940	rxn02504;rxn02503	dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]	R03503;R03504
K13941	rxn02201;rxn02200;rxn02503	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:2.7.6.3 2.5.1.15]	R03066;R03067;R03503
K01971	rxn15042	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	R00381
K00640	rxn00423	serine O-acetyltransferase [EC:2.3.1.30]	R00586
K00647	rxn05346;rxn05348;rxn40018;rxn07576;rxn05347;rxn40014;rxn05345;rxn06238;rxn05344;rxn05343;rxn05350	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	R07762;R10115;R04355;R04960;R04952;R04963;R02768;R10119;R04726;R04957;R04968
K00648	rxn08766	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	R10707
K00645	rxn05465	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	R11671;R01626
K00643	rxn00599	5-aminolevulinate synthase [EC:2.3.1.37]	R00830
K00641	rxn01304;rxn01303	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	R01776;R01777
K01972	rxn15043	DNA ligase (NAD+) [EC:6.5.1.2]	R00382
K01929	rxn03141;rxn03164;rxn03140;rxn39472	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	R04573;R04617
K01928	rxn02011	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	R02788
K01925	rxn02008	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	R02783
K13919	rxn01709;rxn15324;rxn15325	propanediol dehydratase medium subunit [EC:4.2.1.28]	R02376
K13917	rxn06499	mRNA-capping enzyme [EC:2.7.7.50 3.6.1.-]	R03828;R10814
K01924	rxn02286	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	R03193
K01923	rxn03147	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	R04591
K01922	rxn12512	phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]	R04230
K01921	rxn00851	D-alanine-D-alanine ligase [EC:6.3.2.4]	R01150
K01920	rxn00351	glutathione synthase [EC:6.3.2.3]	R10994;R00497
K01919	rxn00646	glutamate--cysteine ligase [EC:6.3.2.2]	R10993;R00894
K01918	rxn01791	pantoate--beta-alanine ligase [EC:6.3.2.1]	R02473
K01917	rxn01403	glutathionylspermidine synthase [EC:6.3.1.8]	R01917
K01916	rxn00138	NAD+ synthase [EC:6.3.1.5]	R00189
K01915	rxn00187	glutamine synthetase [EC:6.3.1.2]	R00253
K01914	rxn00340	aspartate--ammonia ligase [EC:6.3.1.1]	R00483
K13922	rxn09944	propionaldehyde dehydrogenase [EC:1.2.1.87]	R09097
K13923	rxn00670	phosphate propanoyltransferase [EC:2.3.1.222]	R00921
